OUTCOME,Exposure.Coefficient,Std.Error Coef.Exp,Residual Variance of Model,Components of Variance Correlation,VAR COR,SD COR,Model Structure,IQR of Exposure,Coef IQR
log_cbc_wbc,-0.00696139376715757,0.0065838280730958,0.0498007913519403, , , ,x ~ CDPHE_PM10_mean + age + gender + race_afam + season,12,-0.000580116147263131

cbc_abs_eos,0.0092463578283862,0.00534562380160359,0.0328303917605749, , , ,x ~ CDPHE_PM10_mean + age + gender + race_afam + season,12,0.000770529819032183

cbc_abs_neut,-0.0431039757038545,0.0336542057927879,1.30124170269029, , , ,x ~ CDPHE_PM10_mean + age + gender + race_afam + season,12,-0.00359199797532121

log_cbc_abs_neut,-0.0148863475939339,0.0102465805532711,0.120624964437653, , , ,x ~ CDPHE_PM10_mean + age + gender + race_afam + season,12,-0.00124052896616116

cbc_percent_eos,0.172564866677208,0.0864080931144601,8.57804111007427, , , ,x ~ CDPHE_PM10_mean + age + gender + race_afam + season,12,0.014380405556434

cbc_percent_neut,-0.384325599028282,0.304364062728935,106.430481317564, , , ,x ~ CDPHE_PM10_mean + age + gender + race_afam + season,12,-0.0320271332523568

log_cbc_percent_neut,-0.0079249538267766,0.00629893014494814,0.0455840454828715, , , ,x ~ CDPHE_PM10_mean + age + gender + race_afam + season,12,-0.00066041281889805

cbc_wbc,-0.362320406173611,0.324987148327427,2.34380394658864, , , ,x ~ log_vest_NO2 + age + gender + race_afam + season,0.762784539272027,-0.474997050306494

log_cbc_wbc,-0.056758986117713,0.0486215493617348,0.0524621995166586, , , ,x ~ log_vest_NO2 + age + gender + race_afam + season,0.762784539272027,-0.0744102471870781

cbc_abs_eos,0.0674066288676235,0.0391060018808989,0.0339371791256443, , , ,x ~ log_vest_NO2 + age + gender + race_afam + season,0.762784539272027,0.0883691598311023

cbc_abs_neut,-0.225393045661319,0.253282395801683,1.42363585742152, , , ,x ~ log_vest_NO2 + age + gender + race_afam + season,0.762784539272027,-0.295487171090837

log_cbc_abs_neut,-0.0705222295119007,0.0779989083342678,0.135010005774405, , , ,x ~ log_vest_NO2 + age + gender + race_afam + season,0.762784539272027,-0.0924536692618397

cbc_percent_eos,1.34643327924591,0.635298958340894,8.95664154431883, , , ,x ~ log_vest_NO2 + age + gender + race_afam + season,0.762784539272027,1.76515544026482

cbc_percent_neut,-0.701785259864695,2.33900425913223,121.409014064037, , , ,x ~ log_vest_NO2 + age + gender + race_afam + season,0.762784539272027,-0.920030786851623

log_cbc_percent_neut,-0.0137632433941883,0.048475899056347,0.0521483596402848, , , ,x ~ log_vest_NO2 + age + gender + race_afam + season,0.762784539272027,-0.0180434220747623

cbc_wbc,-0.36388985576271,0.272193187235773,2.1823614129688, , , ,x ~ log_stat_NO2 + age + gender + race_afam + season,1.05518097357562,-0.344860137621342

log_cbc_wbc,-0.0562489489929379,0.0406634300980836,0.0487057451821451, , , ,x ~ log_stat_NO2 + age + gender + race_afam + season,1.05518097357562,-0.0533073950360676

cbc_abs_eos,0.0495621872060324,0.0334325314378189,0.0329238561493423, , , ,x ~ log_stat_NO2 + age + gender + race_afam + season,1.05518097357562,0.0469703192601022

cbc_abs_neut,-0.242840769501929,0.212873370026827,1.33479583657202, , , ,x ~ log_stat_NO2 + age + gender + race_afam + season,1.05518097357562,-0.230141345971233

log_cbc_abs_neut,-0.0787672992857188,0.0651309556720029,0.124953111036876, , , ,x ~ log_stat_NO2 + age + gender + race_afam + season,1.05518097357562,-0.0746481421275115

cbc_percent_eos,1.09928363654939,0.540999469497016,8.62116288682357, , , ,x ~ log_stat_NO2 + age + gender + race_afam + season,1.05518097357562,1.0417963023199

cbc_percent_neut,-1.07900769188585,1.96912874981728,114.214277877513, , , ,x ~ log_stat_NO2 + age + gender + race_afam + season,1.05518097357562,-1.02258069365058

log_cbc_percent_neut,-0.0225183502927816,0.040735162084387,0.0488777346777136, , , ,x ~ log_stat_NO2 + age + gender + race_afam + season,1.05518097357562,-0.0213407470914446

cbc_wbc,-0.916994344924552,1.84438706636565,2.2890156138202, , , ,x ~ log_CDPHE_NO2_mean + age + gender + race_afam + season,0.17185025692666,-5.33600799512272

log_cbc_wbc,-0.158425253739474,0.275339012402169,0.0510129124978885, , , ,x ~ log_CDPHE_NO2_mean + age + gender + race_afam + season,0.17185025692666,-0.921879644364364

cbc_abs_eos,0.261320852929631,0.226313378796414,0.0344639519433733, , , ,x ~ log_CDPHE_NO2_mean + age + gender + race_afam + season,0.17185025692666,1.5206311448295

cbc_abs_neut,-2.3904438001595,1.36175322063437,1.24778982835098, , , ,x ~ log_CDPHE_NO2_mean + age + gender + race_afam + season,0.17185025692666,-13.9100391405272

log_cbc_abs_neut,-0.722154515309154,0.418079658303216,0.117614994814102, , , ,x ~ log_CDPHE_NO2_mean + age + gender + race_afam + season,0.17185025692666,-4.20223122283341

cbc_percent_eos,4.49878034704711,3.70195177969213,9.221596893941, , , ,x ~ log_CDPHE_NO2_mean + age + gender + race_afam + season,0.17185025692666,26.1784906668312

cbc_percent_neut,-29.1653049860958,11.8096710684448,93.8469627818753, , , ,x ~ log_CDPHE_NO2_mean + age + gender + race_afam + season,0.17185025692666,-169.71347909327

log_cbc_percent_neut,-0.563729261569682,0.247312891032086,0.0411564708825247, , , ,x ~ log_CDPHE_NO2_mean + age + gender + race_afam + season,0.17185025692666,-3.28035157846906

cbc_wbc,0.0733301016821887,0.23626080867955,2.37183917335723, , , ,x ~ nicalert + age + gender + race_afam + season,2,0.0366650508410944

log_cbc_wbc,0.00981194639127586,0.0353057681297877,0.0529655144166877, , , ,x ~ nicalert + age + gender + race_afam + season,2,0.00490597319563793

cbc_abs_eos,-0.0366721504070137,0.0248533138525644,0.0262464441457764, , , ,x ~ nicalert + age + gender + race_afam + season,2,-0.0183360752035068

cbc_abs_neut,0.199050085349676,0.172142021074216,1.25914475429154, , , ,x ~ nicalert + age + gender + race_afam + season,2,0.0995250426748381

log_cbc_abs_neut,0.0445229856238089,0.0529438278311511,0.119105698495629, , , ,x ~ nicalert + age + gender + race_afam + season,2,0.0222614928119044

cbc_percent_eos,-0.680080846590251,0.398776802745817,6.75712011993312, , , ,x ~ nicalert + age + gender + race_afam + season,2,-0.340040423295126

cbc_percent_neut,1.90307429768313,1.41829408832029,85.4740830954469, , , ,x ~ nicalert + age + gender + race_afam + season,2,0.951537148841567

log_cbc_percent_neut,0.0347110392325324,0.0302440736351496,0.0388671269491586, , , ,x ~ nicalert + age + gender + race_afam + season,2,0.0173555196162662

FeNO_avg,9.39860743518171,3.87920829816508,288.129827853398,id,317.854451920144,17.828473067544,x ~ log_vest_pm10 + age + gender + race_afam + season + (1 | id),0.610575,15.3930433364971

FeNO_avg, , , ,Residual,288.129827853398,16.9743874073086, ,0.610575, 

log_FeNO_avg,0.245030050357339,0.114512292798357,0.245176003374177,id,0.320096589673717,0.565770792524426,x ~ log_vest_pm10 + age + gender + race_afam + season + (1 | id),0.610575,0.401310322822486

log_FeNO_avg, , , ,Residual,0.245176003374177,0.495152505168031, ,0.610575, 

CASI_Total_wFxn,-0.804783200365837,0.429603072763431,3.30778087526278,id,4.24300512834493,2.05985560861555,x ~ log_vest_pm10 + age + gender + race_afam + season + (1 | id),0.610575,-1.31807427484885

CASI_Total_wFxn, , , ,Residual,3.30778087526278,1.81873056697873, ,0.610575, 

CACT_ACT_cont,0.314057101514385,0.877465597799782,18.5060563226249,id,3.74570144367014,1.93538147238991,x ~ log_vest_pm10 + age + gender + race_afam + season + (1 | id),0.610575,0.514362857166417

CACT_ACT_cont, , , ,Residual,18.5060563226249,4.30186660911574, ,0.610575, 

FEV1_pp_GLI,1.2553857639153,2.45771414418415,110.231911439194,id,158.339301143231,12.5832945266028,x ~ log_vest_pm10 + season + (1 | id),0.610575,2.05607134899939

FEV1_pp_GLI, , , ,Residual,110.231911439194,10.4991386046282, ,0.610575, 

FEV1_Zscore_GLI,0.106951499028233,0.197329734441451,0.703627189495436,id,1.07465748952009,1.03665688128719,x ~ log_vest_pm10 + season + (1 | id),0.610575,0.175165211527221

FEV1_Zscore_GLI, , , ,Residual,0.703627189495436,0.838824886073033, ,0.610575, 

FVC_pp_GLI,1.55951228693676,1.87653094889038,61.4889996691765,id,117.692422751833,10.8486138631547,x ~ log_vest_pm10 + season + (1 | id),0.610575,2.55416990040005

FVC_pp_GLI, , , ,Residual,61.4889996691765,7.84149218383698, ,0.610575, 

FVC_Zscore_GLI,0.12506751309098,0.150500097263778,0.389585452322176,id,0.830275906878718,0.911194768904387,x ~ log_vest_pm10 + season + (1 | id),0.610575,0.204835627221849

FVC_Zscore_GLI, , , ,Residual,0.389585452322176,0.624167807822685, ,0.610575, 

FEV1_FVC,-2.68322856253114e-05,0.011844229638468,0.00237729017036652,id,0.00566676859379908,0.0752779422792565,x ~ log_vest_pm10 + season + (1 | id),0.610575,-4.39459290428062e-05

FEV1_FVC, , , ,Residual,0.00237729017036652,0.0487574627146093, ,0.610575, 

FEV1_FVC_pp_GLI,-0.0919619497968443,1.34379860810355,30.4649055817797,id,75.2013635107758,8.67187197269285,x ~ log_vest_pm10 + season + (1 | id),0.610575,-0.150615321290332

FEV1_FVC_pp_GLI, , , ,Residual,30.4649055817797,5.51950229475264, ,0.610575, 

FEV1_FVC_Zscore_GLI,-0.0531301323094268,0.145833413801378,0.355925603707145,id,0.937270831963836,0.968127487453918,x ~ log_vest_pm10 + season + (1 | id),0.610575,-0.087016553755766

FEV1_FVC_Zscore_GLI, , , ,Residual,0.355925603707145,0.596595008114504, ,0.610575, 

FEF2575_pp_GLI,-0.690367994393585,3.73521797456055,241.811685702871,id,487.736461722723,22.0847563202025,x ~ log_vest_pm10 + season + (1 | id),0.610575,-1.13068500084934

FEF2575_pp_GLI, , , ,Residual,241.811685702871,15.5502953574159, ,0.610575, 

FEF2575_Zscore_GLI,0.0250959240457309,0.185122582027105,0.604332371543207,id,1.08160292770161,1.0400014075479,x ~ log_vest_pm10 + season + (1 | id),0.610575,0.0411021152941587

FEF2575_Zscore_GLI, , , ,Residual,0.604332371543207,0.777388173014747, ,0.610575, 

FeNO_avg,4.21094335810422,3.56174461475657,310.317474429525,id,375.067486109477,19.3666591365025,x ~ log_msp_pm10 + age + gender + race_afam + season + (1 | id),0.81490637183818,5.16739530285622

FeNO_avg, , , ,Residual,310.317474429525,17.6158302225449, ,0.81490637183818, 

log_FeNO_avg,0.17765903370294,0.101796357513456,0.249064501558853,id,0.333731483587525,0.577694974521611,x ~ log_msp_pm10 + age + gender + race_afam + season + (1 | id),0.81490637183818,0.218011589849513

log_FeNO_avg, , , ,Residual,0.249064501558853,0.499063624760264, ,0.81490637183818, 

CASI_Total_wFxn,-0.513602456465918,0.36678649904197,3.38108689898488,id,4.21189020679101,2.05228901638902,x ~ log_msp_pm10 + age + gender + race_afam + season + (1 | id),0.81490637183818,-0.63025946809986

CASI_Total_wFxn, , , ,Residual,3.38108689898488,1.83877320488006, ,0.81490637183818, 

CACT_ACT_cont,0.870379383710131,0.73098462278194,18.4836683666226,id,3.61884181399925,1.90232537017179,x ~ log_msp_pm10 + age + gender + race_afam + season + (1 | id),0.81490637183818,1.06807286553279

CACT_ACT_cont, , , ,Residual,18.4836683666226,4.29926370052159, ,0.81490637183818, 

FEV1_pp_GLI,1.87504008417221,2.10393733326222,109.672129287195,id,157.580348697908,12.5531011585946,x ~ log_msp_pm10 + season + (1 | id),0.81490637183818,2.30092701317661

FEV1_pp_GLI, , , ,Residual,109.672129287195,10.4724461940463, ,0.81490637183818, 

FEV1_Zscore_GLI,0.140688280361771,0.169111560112992,0.700781722048216,id,1.07142565749091,1.03509693144696,x ~ log_msp_pm10 + season + (1 | id),0.81490637183818,0.172643490373528

FEV1_Zscore_GLI, , , ,Residual,0.700781722048216,0.837127064458088, ,0.81490637183818, 

