Outcome,Exposure,ModelStructure2,ExposureCoefficient,StdErrorCoefExp,ResidModelVariance,RandomEffectLabel,RandEffectVar,IQRExposure,Coef_IQR
FEV1_pp_GLI,gluc_m3,FEV1_pp_GLI ~ gluc_m3 + season,0.055800687963814,0.0246829909259918,245.68094172235, , ,144.496331787202,0.000386173733780253

FEV1_Zscore_GLI,gluc_m3,FEV1_Zscore_GLI ~ gluc_m3 + season,0.0047408559657639,0.00201784662072008,1.64192080043367, , ,144.496331787202,3.28095246926109e-05

FVC_pp_GLI,gluc_m3,FVC_pp_GLI ~ gluc_m3 + season,0.0435850901153987,0.0179303295844901,129.64400716359, , ,144.496331787202,0.000301634578375221

FVC_Zscore_GLI,gluc_m3,FVC_Zscore_GLI ~ gluc_m3 + season,0.00372872709124156,0.00146756204316652,0.868498039443368, , ,144.496331787202,2.58049948059084e-05

FEV1_FVC,gluc_m3,FEV1_FVC ~ gluc_m3 + season,0.000125292129449521,0.00015176104646814,0.0092874508008672, , ,144.496331787202,8.67095571907231e-07

FEV1_FVC_pp_GLI,gluc_m3,FEV1_FVC_pp_GLI ~ gluc_m3 + season,0.0150992128459027,0.0172197161338962,119.571554875604, , ,144.496331787202,0.000104495475138698

FEV1_FVC_Zscore_GLI,gluc_m3,FEV1_FVC_Zscore_GLI ~ gluc_m3 + season,0.00203118614010194,0.00195616662029868,1.54307696730793, , ,144.496331787202,1.40570083335627e-05

FEF2575_pp_GLI,gluc_m3,FEF2575_pp_GLI ~ gluc_m3 + season,0.0785150578326324,0.0461247609627776,857.914796089998, , ,144.496331787202,0.000543370595374425

FEF2575_Zscore_GLI,gluc_m3,FEF2575_Zscore_GLI ~ gluc_m3 + season,0.00377860653433294,0.00223020453213139,2.00569683455683, , ,144.496331787202,2.61501900262607e-05

FeNO_avg,vest_O3,FeNO_avg ~ vest_O3 + age + gender + race_afam,2.25669340608275,1.12927927991829,470.975073957911, , ,4.80028106288265,0.470116932013054

log_FeNO_avg,vest_O3,log_FeNO_avg ~ vest_O3 + age + gender + race_afam,0.0505945879195109,0.0383342441590103,0.542711485542765, , ,4.80028106288265,0.0105399219872196

cbc_wbc,vest_O3,cbc_wbc ~ vest_O3 + age + gender + race_afam,0.052776586350106,0.144052370139045,2.77179488482752, , ,4.80028106288265,0.01099447837715

log_cbc_wbc,vest_O3,log_cbc_wbc ~ vest_O3 + age + gender + race_afam,0.00678019582430871,0.0202056971993829,0.0545340752734687, , ,4.80028106288265,0.00141245809057628

cbc_abs_eos,vest_O3,cbc_abs_eos ~ vest_O3 + age + gender + race_afam,-0.0122786370251466,0.0149431560802383,0.0298266815732559, , ,4.80028106288265,-0.00255789960302305

cbc_abs_neut,vest_O3,cbc_abs_neut ~ vest_O3 + age + gender + race_afam,0.121144179405216,0.0902435200704531,1.0878081965738, , ,4.80028106288265,0.025236892969027

log_cbc_abs_neut,vest_O3,log_cbc_abs_neut ~ vest_O3 + age + gender + race_afam,0.044206317409816,0.0265743703141611,0.0943292187745767, , ,4.80028106288265,0.00920911022307293

cbc_percent_eos,vest_O3,cbc_percent_eos ~ vest_O3 + age + gender + race_afam,-0.177401562655382,0.214058725484051,6.12048929998939, , ,4.80028106288265,-0.0369564949075815

cbc_percent_neut,vest_O3,cbc_percent_neut ~ vest_O3 + age + gender + race_afam,1.61467070175322,0.588882972069654,46.3210361640408, , ,4.80028106288265,0.336370033462911

log_cbc_percent_neut,vest_O3,log_cbc_percent_neut ~ vest_O3 + age + gender + race_afam,0.0374261215855079,0.0132995582134307,0.0236262449318353, , ,4.80028106288265,0.00779665213249677

CASI_Total_wFxn,vest_O3,CASI_Total_wFxn ~ vest_O3 + age + gender + race_afam,-0.0520886369819132,0.159357116152678,8.93829311437185, , ,4.80028106288265,-0.0108511639838508

CACT_ACT_cont,vest_O3,CACT_ACT_cont ~ vest_O3 + age + gender + race_afam,0.188314555695881,0.262462755980972,16.2842789881577, , ,4.80028106288265,0.0392299020055286

FEV1_pp_GLI,vest_O3,FEV1_pp_GLI ~ vest_O3,0.34440570432569,0.767606094737852,212.983151324141, , ,4.80028106288265,0.0717469872730471

FEV1_Zscore_GLI,vest_O3,FEV1_Zscore_GLI ~ vest_O3,0.0256987208767847,0.0635732784093169,1.46089040337058, , ,4.80028106288265,0.0053535867046402

FVC_pp_GLI,vest_O3,FVC_pp_GLI ~ vest_O3,0.0988502146423407,0.55641113125691,111.907717865423, , ,4.80028106288265,0.0205925889229035

FVC_Zscore_GLI,vest_O3,FVC_Zscore_GLI ~ vest_O3,0.0105928919838815,0.0465785890357519,0.784225712253766, , ,4.80028106288265,0.00220672328247385

FEV1_FVC,vest_O3,FEV1_FVC ~ vest_O3,0.00244520093332116,0.00487652897445463,0.00859587394018782, , ,4.80028106288265,0.000509387034069372

FEV1_FVC_pp_GLI,vest_O3,FEV1_FVC_pp_GLI ~ vest_O3,0.33113155633983,0.552975887017772,110.530162319637, , ,4.80028106288265,0.0689817016966461

